Acids,nytd_des,sameAs,Acid,wikipedia_raw_name,21,1,11,70999,1,656,http://en.wikipedia.org/wiki/Acid,Acid,,/en/acid,/m/0hqs
Acne,nytd_des,sameAs,Acne_vulgaris,wikipedia_raw_name,22,1,11,71000,1,74555,http://en.wikipedia.org/wiki/Acne_vulgaris,Acne vulgaris,,/en/acne_vulgaris,/m/0jwqt
Actors and Actresses,nytd_des,sameAs,Actor,wikipedia_raw_name,26,1,11,71004,1,21504235,http://en.wikipedia.org/wiki/Actor,Actor,,/en/actor,/m/02hrh1q
Adhesives,nytd_des,sameAs,Adhesive,wikipedia_raw_name,28,1,11,71006,1,2396,http://en.wikipedia.org/wiki/Adhesive,Adhesive,,/en/adhesive,/m/0z49
Adrenal Gland,nytd_des,sameAs,Adrenal_gland,wikipedia_raw_name,31,1,11,71009,1,2296,http://en.wikipedia.org/wiki/Adrenal_gland,Adrenal gland,,/en/adrenal_gland,/m/0ybj
Adrenoleukodystrophy (ALD),nytd_des,sameAs,Adrenoleukodystrophy,wikipedia_raw_name,32,1,11,71010,1,52952,http://en.wikipedia.org/wiki/Adrenoleukodystrophy,Adrenoleukodystrophy,,/en/adrenoleukodystrophy,/m/0dxc3
Adult Education,nytd_des,sameAs,Adult_education,wikipedia_raw_name,33,1,11,71011,1,214737,http://en.wikipedia.org/wiki/Adult_education,Adult education,,/en/adult_education,/m/01ffs9
Adultery,nytd_des,sameAs,Adultery,wikipedia_raw_name,34,1,11,71012,1,58809,http://en.wikipedia.org/wiki/Adultery,Adultery,,/en/adultery,/m/0g1nj
